상품 ID,시트행,상품 이름,사이즈/규격,분류,위치,상태(정규화),상태(원본),처리방안(정규화),처리방안(원본),수량,단위,수량(원본),수량신뢰도,옵션별수량,대여가능(결정),비고/특이사항,지원팀장 의견
Y26-001,2,청춘캠프 반팔 티셔츠,S,기념품,정토회관,active,사용가능,giveaway,배부,1,개,1개,exact,,,,배부 -> 지부행사 등 때 상품 등으로 활용
Y26-002,3,회향기념 기도포,,기념품,정토회관,active,사용가능,giveaway,배부,4,,4,exact,,,,배부 -> 지부행사 등 때 상품 등으로 활용
Y26-003,4,청년 역사티 및 맨투맨,,기념품,정토회관,active,사용가능,giveaway,배부,15,,"티: S 3개, M 2개, L 1개
맨투맨: M 4개, L 5개",complex,,,,배부 -> 지부행사 등 때 상품 등으로 활용
Y26-004,5,"환경물품 
(수저집 / 방수포 주머니 / 뒷물수건집 / 뒷물수건 / 손수건)",,기념품,정토회관,active,사용가능,giveaway,배부,16,,3 / 3 / 2 / 5 / 3,derived,,,,배부 -> 지부행사 등 때 상품 등으로 활용
Y26-005,6,흰색 손수건,,기념품,정토회관,active,사용가능,giveaway,배부,60,,60,exact,,,,배부 -> 지부행사 등 때 상품 등으로 활용
Y26-006,7,"감자튀김,농구공,테이크아웃잔 캐릭터",,기념품,정토회관,active,사용가능,giveaway,배부,10,,10개 이상,at_least,,,,배부 -> 지부행사 등 때 상품 등으로 활용
Y26-007,8,컵(방황해도 괜찮아),,기념품,정토회관,active,사용가능,giveaway,배부,6,,6,exact,,,,배부 -> 지부행사 등 때 상품 등으로 활용
Y26-008,9,도서(법륜스님의 행복),,도서,정토회관,active,사용가능,giveaway,배부,44,,44,exact,,,,배부 -> 지부행사 등 때 상품 등으로 활용
Y26-009,10,도서(미래문명을 이끌어갈 새로운 인간),,도서,정토회관,active,사용가능,giveaway,배부,34,,34,exact,,,,배부 -> 지부행사 등 때 상품 등으로 활용
Y26-010,11,"도서(복사본, 미래문명을 이끌어갈 새로운 인간)",,도서,정토회관,active,사용가능,giveaway,배부,14,,14,exact,,,,배부 -> 지부행사 등 때 상품 등으로 활용
