반영,ID,사이트명,설명,수량,최대대여일,상태,사유,경고,분류,위치,원본이름,원본사이즈,원본수량,원본처리방안,내부메모_비고,내부메모_의견
X,Y26-001,청춘캠프 반팔 티셔츠 (S),규격: S / 단위: 개,1,7,active,처리방안 확정(배부) — 대여 대상 아님,"단위있음, 내부메모있음",기념품,정토회관,청춘캠프 반팔 티셔츠,S,1개,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-002,회향기념 기도포,,4,7,active,처리방안 확정(배부) — 대여 대상 아님,내부메모있음,기념품,정토회관,회향기념 기도포,,4,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-003,청년 역사티 및 맨투맨,,15,7,active,처리방안 확정(배부) — 대여 대상 아님,"수량미확정, 복합서술(수동확인), 내부메모있음",기념품,정토회관,청년 역사티 및 맨투맨,,"티: S 3개, M 2개, L 1개
맨투맨: M 4개, L 5개",배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-004,환경물품 (수저집 / 방수포 주머니 / 뒷물수건집 / 뒷물수건 / 손수건),,16,7,active,처리방안 확정(배부) — 대여 대상 아님,"행분리필요(이름에 여러 줄), 옵션혼합(수량 안분 확인), 내부메모있음",기념품,정토회관,"환경물품 
(수저집 / 방수포 주머니 / 뒷물수건집 / 뒷물수건 / 손수건)",,3 / 3 / 2 / 5 / 3,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-005,흰색 손수건,,60,7,active,처리방안 확정(배부) — 대여 대상 아님,내부메모있음,기념품,정토회관,흰색 손수건,,60,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-006,"감자튀김,농구공,테이크아웃잔 캐릭터",,10,7,active,처리방안 확정(배부) — 대여 대상 아님,"수량미확정, 내부메모있음",기념품,정토회관,"감자튀김,농구공,테이크아웃잔 캐릭터",,10개 이상,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-007,컵(방황해도 괜찮아),,6,7,active,처리방안 확정(배부) — 대여 대상 아님,내부메모있음,기념품,정토회관,컵(방황해도 괜찮아),,6,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-008,도서(법륜스님의 행복),,44,7,active,처리방안 확정(배부) — 대여 대상 아님,내부메모있음,도서,정토회관,도서(법륜스님의 행복),,44,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-009,도서(미래문명을 이끌어갈 새로운 인간),,34,7,active,처리방안 확정(배부) — 대여 대상 아님,내부메모있음,도서,정토회관,도서(미래문명을 이끌어갈 새로운 인간),,34,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
X,Y26-010,"도서(복사본, 미래문명을 이끌어갈 새로운 인간)",,14,7,active,처리방안 확정(배부) — 대여 대상 아님,내부메모있음,도서,정토회관,"도서(복사본, 미래문명을 이끌어갈 새로운 인간)",,14,배부,,배부 -> 지부행사 등 때 상품 등으로 활용
