반영,ID,사이트명,설명,수량,최대대여일,상태,사유,경고,분류,위치,원본이름,원본사이즈,원본수량,원본처리방안,내부메모_비고,내부메모_의견
O,XA1001,입식용 테이블,,3,7,active,회관물품 시트 신규 등록,,,7층,입식용 테이블,,3.0,,흰색 테이블 덮개 천 있음 · 시트 사진 1장 이관,
O,XA1002,테이블 커버,,3,7,active,회관물품 시트 신규 등록,,,7층,테이블 커버,,3.0,,시트 사진 2장 이관,
O,XA1003,접이식의자,,14,7,active,회관물품 시트 신규 등록,,,7층,접이식의자,,14.0,,흰색 8개 / 검정색 6개 · 청년물품 #91 '접이식 의자'(Y26-139)와 이름 유사 — 실물 확인 필요 · 시트 사진 1장 이관,
O,XA1004,접수대,,2,7,active,회관물품 시트 신규 등록,,,7층,접수대,,2.0,,시트 사진 2장 이관,
O,XA1005,부스용 테이블,,8,7,active,회관물품 시트 신규 등록,,,7층 6회의실,부스용 테이블,,8.0,,시트 사진 2장 이관,
O,XA1006,보면대,,6,7,active,회관물품 시트 신규 등록,,,7층,보면대,,6.0,,시트 사진 1장 이관,
O,XA1007,이젤,,10,7,active,회관물품 시트 신규 등록 — 수량 미확정(잠정치),수량불확실,,7층,이젤,,다수,,"수량이 '다수'로만 기재 — 잠정 10으로 등록, 실물 확인 필요 · 시트 사진 1장 이관",
O,XA1008,스탠드 마이크 거치대,,1,7,active,회관물품 시트 신규 등록,,,7층,스탠드 마이크 거치대,,1.0,,시트 사진 1장 이관,
O,XA1009,좌식 마이크 거치대,,4,7,active,회관물품 시트 신규 등록,,,7층,좌식 마이크 거치대,,4.0,,시트 사진 1장 이관,
O,XA1010,스탠드 POP 거치대 A3,,2,7,active,회관물품 시트 신규 등록,,,2층 OA실,스탠드 POP 거치대 A3,,2.0,,시트 사진 1장 이관,
O,XA1011,스탠드 POP 거치대 A4,,5,7,active,회관물품 시트 신규 등록,,,2층 OA실,스탠드 POP 거치대 A4,,5.0,,시트 사진 1장 이관,
O,XA1012,스탠드 POP 거치대 A3,,2,7,active,회관물품 시트 신규 등록,,,2층,스탠드 POP 거치대 A3,,2.0,,같은 시트 XA1010과 품목명 동일(보관위치 다름: 2층 vs 2층 OA실) · 시트 사진 1장 이관,
O,XA1013,멀티탭,,9,7,active,회관물품 시트 신규 등록,,,2층,멀티탭,,9.0,,추가 필요 시 문의 · 시트 사진 1장 이관,
O,XA1014,파티션 1면,,2,7,active,회관물품 시트 신규 등록,,,7층,파티션 1면,,2.0,,추가 필요 시 문의 · 시트 사진 1장 이관,
O,XA1015,안내팻말,,10,7,active,회관물품 시트 신규 등록 — 수량 미확정(잠정치),수량불확실,,2층,안내팻말,,다수,,"수량이 '다수'로만 기재 — 잠정 10으로 등록, 실물 확인 필요 · 시트에 사진 없음",
O,XA1016,의전용품,,1,7,active,회관물품 시트 신규 등록,,,2층,의전용품,,1.0,,뚜껑있는 컵 2개 / 나무쟁반 2개 / 물수건 · 시트 사진 1장 이관,
O,XA1017,라이터,,1,7,active,회관물품 시트 신규 등록,,,2층,라이터,,1.0,,시트 사진 1장 이관,
O,XA1018,정토회 뱃지,,3,7,active,회관물품 시트 신규 등록,,,2층 안내데스크 첫번째 서랍,정토회 뱃지,,3.0,,보관위치 원문: '2층 / 안내데스크 / 첫번째 서랍' · 시트 사진 1장 이관,
O,XA1019,야광주차봉,,18,7,active,회관물품 시트 신규 등록,,,7층,야광주차봉,,18.0,,시트 사진 1장 이관,
O,XA1020,시타림물품,,3,7,active,회관물품 시트 신규 등록 — 수량 미확정(잠정치),수량불확실,,2층,시타림물품,,3개,,수량 원문이 '3개' (단위가 수량 칸에 포함) · 시트 사진 1장 이관,
O,XA1021,근조기,,2,7,active,회관물품 시트 신규 등록 — 수량 미확정(잠정치),수량불확실,,2층,근조기,,2개,,수량 원문이 '2개' (단위가 수량 칸에 포함) · 시트 사진 2장 이관,
O,XA1022,릴선,,1,7,active,회관물품 시트 신규 등록 — 수량 미확정(잠정치),수량불확실,,7층,릴선,,1개,,수량 원문이 '1개' (단위가 수량 칸에 포함) · 청년물품 #82 '릴선'(Y26-128)와 이름 동일 — 실물 확인 필요 · 시트에 사진 없음,
O,XA1023,어깨띠,,10,7,active,회관물품 시트 신규 등록 — 수량 미확정(잠정치),수량불확실,,,어깨띠,,,,"수량·보관위치 미기재 — 잠정 10으로 등록, 실물 확인 필요 · 시트에 사진 없음",
O,XA1024,조끼,,10,7,active,회관물품 시트 신규 등록 — 수량 미확정(잠정치),수량불확실,,,조끼,,,,"수량·보관위치 미기재 — 잠정 10으로 등록, 실물 확인 필요 · 청년물품 조끼 14종(#56~#67·#96·#97)과 구분 필요 · 시트에 사진 없음",
O,XA1025,주차봉,,10,7,active,회관물품 시트 신규 등록 — 수량 미확정(잠정치),수량불확실,,,주차봉,,,,"수량·보관위치 미기재 — 잠정 10으로 등록, 실물 확인 필요 · 시트 사진 1장 이관",
O,XA1026,휴지통,,24,7,active,회관물품 시트 신규 등록,,,2층 여자탈의실,휴지통,,24.0,,보관위치 원문: '2층 / 여자탈의실' · 시트에 사진 없음,
